Gene	logFC	P.Value
AK034592	-1.0123079	2.94E-06
NM_028807	-1.2910128	3.13E-06
DQ141308	-1.4568331	3.27E-06
AB109563	-1.0765482	3.29E-06
XM_985903	-1.692522	3.80E-06
XM_979370	-1.1632239	4.20E-06
XM_897430	-1.0856156	4.22E-06
AK076656	-1.2471251	4.27E-06
XM_978838	-1.3931478	4.78E-06
AK008093	-1.0437262	4.81E-06
BC096593	-1.6224129	5.44E-06
XM_134539	-1.1259399	5.71E-06
NM_008877	-1.3568676	5.85E-06
XM_001001288	-1.6086063	6.04E-06
BC011215	-1.2551247	6.53E-06
AY512948	-1.1764368	7.07E-06
AK173133	-1.0583391	7.97E-06
AK051840	-1.3307415	8.63E-06
NM_031183	-1.3504298	9.89E-06
NM_028362	-1.0808167	1.02E-05
BC034187	-1.3197283	1.15E-05
NM_018857	-1.2826107	1.33E-05
NM_009051	-1.1736251	1.46E-05
NM_025675	-1.1260473	1.75E-05
AK076249	-1.1665232	1.83E-05
AY989823	-1.064827	1.84E-05
XM_985832	-1.0383071	2.03E-05
NM_178081	-1.0317457	2.04E-05
BC021464	-1.1804041	2.13E-05
XM_985870	-1.9017642	2.17E-05
NM_001039485	-1.0746391	2.26E-05
AK156393	-1.1283033	2.49E-05
AJ344341	-1.1981991	2.55E-05
AK029502	-1.0220372	2.72E-05
NM_053096	-1.2397527	2.85E-05
AK089682	-1.069306	2.91E-05
NM_172967	-1.0996955	2.93E-05
BC056981	-1.3819516	3.05E-05
BC061030	-1.1051201	3.51E-05
NM_053169	-1.0181847	3.54E-05
NM_001038660	-1.0358101	3.60E-05
XM_886514	-1.0177473	4.41E-05
NM_145920	-1.0371487	4.48E-05
XM_974851	-1.145623	5.46E-05
XM_992901	-1.6559882	5.95E-05
XM_001002441	-1.2035699	6.04E-05
BC018480	-1.073601	6.77E-05
NM_023058	-1.185076	7.62E-05
AK166871	-1.890444	8.88E-05
NM_021365	-1.6304462	9.50E-05
XM_355785	-1.8247477	1.00E-04
NM_001029933	-1.0230162	1.21E-04
BC028487	-1.145745	1.36E-04
XM_991476	-1.1918505	1.40E-04
XM_985942	-1.6732863	2.26E-04
BC025576	-1.6589042	2.75E-04
AK052344	-1.1551556	3.19E-04
NM_207023	-1.3654722	3.19E-04
NM_019701	-1.0544117	3.84E-04
BC098242	-1.7375125	4.02E-04
XM_985977	-1.5264725	4.97E-04
XM_993953	-1.0495576	5.30E-04
AK011064	-1.0925996	6.05E-04
NM_008979	-1.7924172	1.85E-03
BC099597	-1.2640391	2.90E-02
